Name	Codes
Abies alba	31
Abies pinsapo	32
Acacia spp.	7/207/307
Acer campestre	76/776/976
Acer monspessulanum	276
Acer negundo	376
Acer opalus	476
Acer platanoides	676
Acer pseudoplatanus	576
Adenocarpus spp.	1163/2163/2103/3163/10103
Ailanthus altissima	11
Alnus glutinosa	54
Amelanchier ovalis	2/200
Ampelodesmos mauritanica	150
Anagyris spp.	175/1175
Anthyllis cytisoides	125
Aphyllanthes monspeliensis	169
Apollonias barbujana	88
Arbutus canariensis	268
Arbutus unedo	68
Arctostaphylos uva-ursi	107
Artemisia spp.	126/159/1159/3159
Asparagus spp.	138/1138/2138
Astragalus spp.	6104
Atriplex spp.	133
Berberis vulgaris	116
Betula spp.	73/273/373
Bupleurum spp.	124/1124/2124/4124
Buxus sempervirens	91/291/2910/9071/9100
Calicotome spp.	2104/2105/9072/3104
Calluna vulgaris	106
Carpinus betulus	98
Castanea sativa	72
Cedrus spp.	17/217/317/917
Celtis australis	13
Ceratonia siliqua	67
Chamaecyparis lawsoniana	18
Chamaecytisus proliferus	160
Chamaerops humilis	369/3690
Chamaespartium tridentatum	136
Cistus albidus	101/3101
Cistus clusii	4101
Cistus creticus	9073
Cistus crispus	7101
Cistus ladanifer	1101
Cistus laurifolius	8101
Cistus libanotis	10101
Cistus monspeliensis	5101
Cistus populifolius	2101
Cistus psilosepalus	2111/11101
Cistus salvifolius	6101
Cistus symphytifolius	9101
Clematis spp.	132/1132/2132
Colutea arborescens	7103
Corema spp.	172/1172
Coriaria myrtifolia	139
Cornus sanguinea	9/900
Coronilla spp.	152/1152/3152/5104
Corylus avellana	74
Cotoneaster spp.	118
Crataegus spp.	15/215/315/415/515
Cupressus spp.	36/236/336/436/936
Cytisophyllum sessilifolium	153
Cytisus arboreus	167
Cytisus baeticus	1187
Cytisus cantabricus	2167
Cytisus commutatus	9011/9201/9481
Cytisus fontanesii	9074
Cytisus grandiflorus	1188
Cytisus malacifitanus	1168
Cytisus multiflorus	3167
Cytisus oromediterraneus	5155/4167
Cytisus scoparius	4104/1167/5103/8103
Cytisus striatus	1189
Cytisus tribracteolatus	1191
Cytisus villosus	1190
Daboecia cantabrica	120
Daphne spp.	110/1110/2110/3110
Dittrichia viscosa	178
Dorycnium spp.	154/7104/1154
Dracaena drago	569
Echium spp..	161
Ephedra spp.	173/1173
Erica arborea	83/102/1102
Erica australis	2102
Erica ciliaris	8102
Erica cinerea	5102
Erica erigena	9102
Erica multiflora	4102
Erica scoparia	283/6102
Erica tetralix	1202
Erica umbellata	7102
Erica vagans	3102
Erinacea spp.	1104/1166
Eucalyptus spp.	60/61/62/63/64/264/364/464
Euonymus europaeus	5/500
Euphorbia spp.	162/1162/2162/3162
