"NFICode";"NFIName";"originalName";"originalNameAuthorship";"acceptedName";"acceptedNameAuthorship";"taxonomicStatus";"taxonRank"
31;"Abies alba";"Abies alba";"Mill.";"Abies alba";"Mill.";"Accepted";"species"
32;"Abies pinsapo";"Abies pinsapo";"Boiss.";"Abies pinsapo";"Boiss.";"Accepted";"species"
307;"Acacia dealbata";"Acacia dealbata";"Link";"Acacia dealbata";"Link";"Accepted";"species"
207;"Acacia melanoxylon";"Acacia melanoxylon";"R.Br. in W.T.Aiton";"Acacia melanoxylon";"R.Br.";"Accepted";"species"
7;"Acacia spp.";"Acacia";;"Acacia";"Mill.";"Accepted";"genus"
76;"Acer campestre";"Acer campestre";"L.";"Acer campestre";"L.";"Accepted";"species"
276;"Acer monspessulanum";"Acer monspessulanum";"L.";"Acer monspessulanum";"L.";"Accepted";"species"
376;"Acer negundo";"Acer negundo";"L.";"Acer negundo";"L.";"Accepted";"species"
476;"Acer opalus";"Acer opalus";"Mill.";"Acer opalus";"Mill.";"Accepted";"species"
676;"Acer platanoides";"Acer platanoides";"L.";"Acer platanoides";"L.";"Accepted";"species"
576;"Acer pseudoplatanus";"Acer pseudoplatanus";"L.";"Acer pseudoplatanus";"L.";"Accepted";"species"
776;"Acer spp.";"Acer";;"Acer";"L.";"Accepted";"genus"
976;"Acer spp.";"Acer";;"Acer";"L.";"Accepted";"genus"
1163;"Adenocarpus decorticans";"Adenocarpus decorticans";"Boiss.";"Adenocarpus decorticans";"Boiss.";"Accepted";"species"
2163;"Adenocarpus gibbsianus";"Adenocarpus gibbsianus";"Castrov. & Talavera";"Adenocarpus complicatus  subsp. aureus";"(Cav.) C.Vicioso";"Accepted";"subspecies"
2103;"Adenocarpus spp.";"Adenocarpus";;"Adenocarpus";"DC.";"Accepted";"genus"
3163;"Adenocarpus telonensis";"Adenocarpus telonensis";"(Loisel.) DC. in Lam. & DC.";"Adenocarpus telonensis";"(Loisel.) DC.";"Accepted";"species"
10103;"Adenocarpus telonensis";"Adenocarpus telonensis";"(Loisel.) DC. in Lam. & DC.";"Adenocarpus telonensis";"(Loisel.) DC.";"Accepted";"species"
11;"Ailanthus altissima";"Ailanthus altissima";"(Mill.) Swingle";"Ailanthus altissima";"(Mill.) Swingle";"Accepted";"species"
54;"Alnus glutinosa";"Alnus glutinosa";"(L.) Gaertn.";"Alnus glutinosa";"(L.) Gaertn.";"Accepted";"species"
2;"Amelanchier ovalis";"Amelanchier ovalis";"Medik.";"Amelanchier ovalis";"Medik.";"Accepted";"species"
200;"Amelanchier ovalis";"Amelanchier ovalis";"Medik.";"Amelanchier ovalis";"Medik.";"Accepted";"species"
150;"Ampelodesmos mauritanica";"Ampelodesmos mauritanica";;"Ampelodesmos mauritanicus";"(Poir.) T.Durand & Schinz";"Accepted";"species"
1175;"Anagyris foetida";"Anagyris foetida";"L.";"Anagyris foetida";"L.";"Accepted";"species"
175;"Anagyris spp.";"Anagyris";;"Anagyris";"L.";"Accepted";"genus"
125;"Anthyllis cytisoides";"Anthyllis cytisoides";"L.";"Anthyllis cytisoides";"L.";"Accepted";"species"
169;"Aphyllanthes monspeliensis";"Aphyllanthes monspeliensis";"L.";"Aphyllanthes monspeliensis";"L.";"Accepted";"species"
88;"Apollonias barbujana";"Apollonias barbujana";"(Cav.) Bornm.";"Persea barbujana";"(Cav.) Mabb. & Nieto Fel.";"Accepted";"species"
268;"Arbutus canariensis";"Arbutus canariensis";"Veill.";"Arbutus canariensis";"Veill.";"Accepted";"species"
68;"Arbutus unedo";"Arbutus unedo";"L.";"Arbutus unedo";"L.";"Accepted";"species"
107;"Arctostaphylos uva-ursi";"Arctostaphylos uva-ursi";"(L.) Spreng.";"Arctostaphylos uva-ursi";"(L.) Spreng.";"Accepted";"species"
3159;"Artemisia campestris";"Artemisia campestris";"L.";"Artemisia campestris";"L.";"Accepted";"species"
159;"Artemisia canariensis";"Artemisia canariensis";;"Artemisia thuscula";"Cav.";"Accepted";"species"
1159;"Artemisia reptans";"Artemisia reptans";"C.Sm. ex Link";"Artemisia reptans";"C.Sm.";"Accepted";"species"
126;"Artemisia spp.";"Artemisia";;"Artemisia";"L.";"Accepted";"genus"
1138;"Asparagus acutifolius";"Asparagus acutifolius";"L.";"Asparagus acutifolius";"L.";"Accepted";"species"
2138;"Asparagus albus";"Asparagus albus";"L.";"Asparagus albus";"L.";"Accepted";"species"
138;"Asparagus spp.";"Asparagus";;"Asparagus";"L.";"Accepted";"genus"
6104;"Astragalus spp.";"Astragalus";;"Astragalus";"L.";"Accepted";"genus"
133;"Atriplex spp.";"Atriplex";;"Atriplex";"L.";"Accepted";"genus"
116;"Berberis vulgaris";"Berberis vulgaris";"L.";"Berberis vulgaris";"L.";"Accepted";"species"
273;"Betula alba";"Betula alba";"L.";"Betula pubescens  var. pubescens";;"Accepted";"variety"
373;"Betula pendula";"Betula pendula";"Roth";"Betula pendula";"Roth";"Accepted";"species"
73;"Betula spp.";"Betula";;"Betula";"L.";"Accepted";"genus"
2124;"Bupleurum fruticescens";"Bupleurum fruticescens";"Loefl. ex L.";"Bupleurum fruticescens";"L.";"Accepted";"species"
1124;"Bupleurum fruticosum";"Bupleurum fruticosum";"L.";"Bupleurum fruticosum";"L.";"Accepted";"species"
4124;"Bupleurum gibraltaricum";"Bupleurum gibraltaricum";;"Bupleurum gibraltaricum";"Lam.";"Accepted";"species"
124;"Bupleurum spp.";"Bupleurum";;"Bupleurum";"L.";"Accepted";"genus"
291;"Buxus balearica";"Buxus balearica";"Lam.";"Buxus balearica";"Lam.";"Accepted";"species"
2910;"Buxus balearica";"Buxus balearica";"Lam.";"Buxus balearica";"Lam.";"Accepted";"species"
9071;"Buxus balearica";"Buxus balearica";"Lam.";"Buxus balearica";"Lam.";"Accepted";"species"
91;"Buxus sempervirens";"Buxus sempervirens";"L.";"Buxus sempervirens";"L.";"Accepted";"species"
9100;"Buxus sempervirens";"Buxus sempervirens";"L.";"Buxus sempervirens";"L.";"Accepted";"species"
