"NFICode";"NFIName";"originalName";"originalNameAuthorship";"acceptedName";"acceptedNameAuthorship";"taxonomicStatus";"taxonRank"
11;"Abies amabilis";"Abies amabilis";"(Douglas ex Loudon) Douglas ex Forbes";"Abies amabilis";"Douglas ex J.Forbes";"Accepted";"species"
12;"Abies balsamea";"Abies balsamea";"(L.) Mill.";"Abies balsamea";"(L.) Mill.";"Accepted";"species"
14;"Abies bracteata";"Abies bracteata";"(D. Don) D. Don ex Poit.";"Abies bracteata";"(D.Don) Poit.";"Accepted";"species"
15;"Abies concolor";"Abies concolor";"(Gord. & Glend.) Lindl. ex Hildebr.";"Abies concolor";"(Gordon & Glend.) Lindl. ex Hildebr.";"Accepted";"species"
16;"Abies fraseri";"Abies fraseri";"(Pursh) Poir.";"Abies fraseri";"(Pursh) Poir.";"Accepted";"species"
17;"Abies grandis";"Abies grandis";"(Douglas ex D. Don) Lindl.";"Abies grandis";"(Douglas ex D.Don) Lindl.";"Accepted";"species"
19;"Abies lasiocarpa";"Abies lasiocarpa";"(Hook.) Nutt.";"Abies lasiocarpa";"(Hook.) Nutt.";"Accepted";"species"
18;"Abies lasiocarpa var. arizonica";"Abies lasiocarpa var. arizonica";"(Hook.) Nutt.";"Abies lasiocarpa  var. arizonica";"(Merriam) Lemmon";"Accepted";"variety"
20;"Abies magnifica";"Abies magnifica";"A. Murray bis";"Abies magnifica";"A.Murray bis";"Accepted";"species"
22;"Abies procera";"Abies procera";"Rehder";"Abies procera";"Rehder";"Accepted";"species"
21;"Abies shastensis";"Abies x shastensis";"(Lemmon) Lemmon";"Abies magnifica  var. shastensis";"Lemmon";"Accepted";"variety"
10;"Abies spp.";"Abies";"Mill.";"Abies";"Mill.";"Accepted";"genus"
6001;"Acacia anegadensis";"Acacia anegadensis";"Britton [excluded]";"Vachellia anegadensis";"(Britton) Seigler & Ebinger";"Accepted";"species"
6002;"Acacia aneura";"Acacia aneura";"F. Muell. ex Benth.";"Acacia aneura";"Benth.";"Accepted";"species"
6003;"Acacia auriculiformis";"Acacia auriculiformis";"A. Cunn. ex Benth.";"Acacia auriculiformis";"A.Cunn. ex Benth.";"Accepted";"species"
6004;"Acacia confusa";"Acacia confusa";"Merr.";"Acacia confusa";"Merr.";"Accepted";"species"
6016;"Acacia dealbata";"Acacia dealbata";"Link";"Acacia dealbata";"Link";"Accepted";"species"
6017;"Acacia decurrens";"Acacia decurrens";"(Wendl. f.) Willd.";"Acacia decurrens";"(J.C.Wendl.) Willd.";"Accepted";"species"
303;"Acacia farnesiana";"Acacia farnesiana";"(L.) Willd.";"Vachellia farnesiana";"(L.) Wight & Arn.";"Accepted";"species"
304;"Acacia greggii";"Acacia greggii";"A. Gray";"Senegalia greggii";"(A.Gray) Britton & Rose";"Accepted";"species"
6006;"Acacia koa";"Acacia koa";"A. Gray";"Acacia koa";"A.Gray";"Accepted";"species"
6007;"Acacia koaia";"Acacia koaia";"Hillebr.";"Acacia koaia";"Hillebr.";"Accepted";"species"
6019;"Acacia longifolia";"Acacia longifolia";"(Andrews) Willd.";"Acacia longifolia";"(Andrews) Willd.";"Accepted";"species"
6008;"Acacia macracantha";"Acacia macracantha";"Humb. & Bonpl. ex Willd.";"Vachellia macracantha";"(Humb. & Bonpl. ex Willd.) Seigler & Ebinger";"Accepted";"species"
6009;"Acacia mangium";"Acacia mangium";"Willd.";"Acacia mangium";"Willd.";"Accepted";"species"
6010;"Acacia mearnsii";"Acacia mearnsii";"De Wild.";"Acacia mearnsii";"De Wild.";"Accepted";"species"
6011;"Acacia melanoxylon";"Acacia melanoxylon";"R. Br.";"Acacia melanoxylon";"R.Br.";"Accepted";"species"
6012;"Acacia muricata";"Acacia muricata";"(L.) Willd.";"Parasenegalia muricata";"(L.) Seigler & Ebinger";"Accepted";"species"
6013;"Acacia nilotica";"Acacia nilotica";"(L.) Willd. ex Delile";"Vachellia nilotica";"(L.) P.J.H.Hurter & Mabb.";"Accepted";"species"
6014;"Acacia parramattensis";"Acacia parramattensis";"Tindale";"Acacia parramattensis";"Tindale";"Accepted";"species"
6015;"Acacia polyacantha";"Acacia polyacantha";"Willd.";"Senegalia polyacantha";"(Willd.) Seigler & Ebinger";"Accepted";"species"
300;"Acacia spp.";"Acacia";"Mill.";"Acacia";"Mill.";"Accepted";"genus"
6018;"Acacia tortuosa";"Acacia tortuosa";"(L.) Willd.";"Prosopis laevigata";"(Humb. & Bonpl. ex Willd.) M.C.Johnst.";"Accepted";"species"
6020;"Acacia verticillata";"Acacia verticillata";"(L'Hér.) Willd.";"Acacia verticillata";"(L'Hér.) Willd.";"Accepted";"species"
311;"Acer barbatum";"Acer barbatum";"Michx. p.p.";"Acer glabrum";"Torr.";"Accepted";"species"
5145;"Acer campestre";"Acer campestre";"L.";"Acer campestre";"L.";"Accepted";"species"
5146;"Acer circinatum";"Acer circinatum";"Pursh";"Acer circinatum";"Pursh";"Accepted";"species"
5147;"Acer ginnala";"Acer ginnala";"Maxim.";"Acer tataricum  subsp. ginnala";"(Maxim.) Wesm.";"Accepted";"subspecies"
321;"Acer glabrum";"Acer glabrum";"Torr.";"Acer glabrum";"Torr.";"Accepted";"species"
322;"Acer grandidentatum";"Acer grandidentatum";"Nutt.";"Acer saccharum  subsp. grandidentatum";"(Nutt.) Desmarais";"Accepted";"subspecies"
5148;"Acer griseum";"Acer griseum";"(Franch.) Pax";"Acer griseum";"(Franch.) Pax";"Accepted";"species"
323;"Acer leucoderme";"Acer leucoderme";"Small";"Acer saccharum  subsp. leucoderme";"(Small) Desmarais";"Accepted";"subspecies"
312;"Acer macrophyllum";"Acer macrophyllum";"Pursh";"Acer macrophyllum";"Pursh";"Accepted";"species"
5155;"Acer miyabei ssp. Morton";"Acer miyabei";;"Acer miyabei";"Maxim.";"Accepted";"species"
5149;"Acer mono";"Acer mono";;"Acer pictum  subsp. mono";"(Maxim.) H.Ohashi";"Accepted";"subspecies"
313;"Acer negundo";"Acer negundo";"L.";"Acer negundo";"L.";"Accepted";"species"
314;"Acer nigrum";"Acer nigrum";"Michx. f.";"Acer saccharum  subsp. nigrum";"(F.Michx.) Desmarais";"Accepted";"subspecies"
5150;"Acer palmatum";"Acer palmatum";"Thunb.";"Acer palmatum";"Thunb.";"Accepted";"species"
