"NFICode";"NFIName";"originalName";"originalNameAuthorship";"acceptedName";"acceptedNameAuthorship";"family";"genus";"specificEpithet";"taxonRank"
31;"Abies alba";"Abies alba";"Mill.";"Abies alba";"Mill.";"Pinaceae";"Abies";"alba";"species"
32;"Abies pinsapo";"Abies pinsapo";"Boiss.";"Abies pinsapo";"Boiss.";"Pinaceae";"Abies";"pinsapo";"species"
307;"Acacia dealbata";"Acacia dealbata";"Link";"Acacia dealbata";"Link";"Fabaceae";"Acacia";"dealbata";"species"
207;"Acacia melanoxylon";"Acacia melanoxylon";"R.Br. in W.T.Aiton";"Acacia melanoxylon";"R.Br.";"Fabaceae";"Acacia";"melanoxylon";"species"
7;"Acacia spp.";"Acacia";;"Acacia";"Mill.";"Fabaceae";"Acacia";;"genus"
76;"Acer campestre";"Acer campestre";"L.";"Acer campestre";"L.";"Sapindaceae";"Acer";"campestre";"species"
276;"Acer monspessulanum";"Acer monspessulanum";"L.";"Acer monspessulanum";"L.";"Sapindaceae";"Acer";"monspessulanum";"species"
376;"Acer negundo";"Acer negundo";"L.";"Acer negundo";"L.";"Sapindaceae";"Acer";"negundo";"species"
476;"Acer opalus";"Acer opalus";"Mill.";"Acer opalus";"Mill.";"Sapindaceae";"Acer";"opalus";"species"
676;"Acer platanoides";"Acer platanoides";"L.";"Acer platanoides";"L.";"Sapindaceae";"Acer";"platanoides";"species"
576;"Acer pseudoplatanus";"Acer pseudoplatanus";"L.";"Acer pseudoplatanus";"L.";"Sapindaceae";"Acer";"pseudoplatanus";"species"
776;"Acer spp.";"Acer";;"Acer";"L.";"Sapindaceae";"Acer";;"genus"
976;"Acer spp.";"Acer";;"Acer";"L.";"Sapindaceae";"Acer";;"genus"
1163;"Adenocarpus decorticans";"Adenocarpus decorticans";"Boiss.";"Adenocarpus decorticans";"Boiss.";"Fabaceae";"Adenocarpus";"decorticans";"species"
2163;"Adenocarpus gibbsianus";"Adenocarpus gibbsianus";"Castrov. & Talavera";"Adenocarpus complicatus  subsp. aureus";"(Cav.) C.Vicioso";"Fabaceae";"Adenocarpus";"complicatus";"subspecies"
2103;"Adenocarpus spp.";"Adenocarpus";;"Adenocarpus";"DC.";"Fabaceae";"Adenocarpus";;"genus"
3163;"Adenocarpus telonensis";"Adenocarpus telonensis";"(Loisel.) DC. in Lam. & DC.";"Adenocarpus telonensis";"(Loisel.) DC.";"Fabaceae";"Adenocarpus";"telonensis";"species"
